,Name,Set,Types,Cost,Text,Actions / Villagers,Cards,Buys,Coins / Coffers,Trash / Return,Exile,Junk,Gain,Victory Points
40,Lurker,"Intrigue, 2E",Action,,+1 Action Choose one: Trash an Action card from the Supply; or gain an Action card from the trash.,+1,,,,1?,,,1?,
41,Pawn,Intrigue,Action,,Choose two: +1 Card; +1 Action; +1 Buy; +. The choices must be different.,+1?,+1?,+1?,+?,,,,,
42,Secret Chamber,"Intrigue, 1E",Action - Reaction,,"Discard any number of cards. + per card discarded.When another player plays an Attack card, you may reveal this from your hand. If you do, +2 Cards, then put 2 cards from your hand on top of your deck.",,-X,,+,,,,,
43,Great Hall,"Intrigue, 1E",Action - Victory,,+1 Card +1 Action1,+1,+1,,,,,,,1
44,Masquerade,Intrigue,Action,,"+2 Cards Each player with any cards in hand passes one to the next such player to their left, at once. Then you may trash a card from your hand.",,+2,,,1?,,,,
45,Shanty Town,Intrigue,Action,,"+2 Actions Reveal your hand. If you have no Action cards in hand, +2 Cards.",+2,+2?,,,,,,,
46,Steward,Intrigue,Action,,Choose one: +2 Cards; or +; or trash 2 cards from your hand.,,+2?,,+?,2?,,,,
47,Swindler,Intrigue,Action - Attack,,+ Each other player trashes the top card of their deck and gains a card with the same cost that you choose.,,,,+,,,,,
48,Wishing Well,Intrigue,Action,,"+1 Card +1 Action Name a card, then reveal the top card of your deck. If you named it, put it into your hand.",+1,+1-2,,,,,,,
49,Baron,Intrigue,Action,,"+1 Buy You may discard an Estate for +. If you don't, gain an Estate.",,,+1,+?,,,,1?,
50,Bridge,Intrigue,Action,,"+1 Buy + This turn, cards (everywhere) cost less, but not less than .",,,+1,"+, R1",,,,,
51,Conspirator,Intrigue,Action,,"+ If you’ve played 3 or more Actions this turn (counting this), +1 Card and +1 Action.",+1?,+1?,,+,,,,,
52,Coppersmith,"Intrigue, 1E",Action,,Copper produces an extra this turn.,,,,+,,,,,
53,Diplomat,"Intrigue, 2E",Action - Reaction,,"+2 Cards If you have 5 or fewer cards in hand (after drawing), +2 Actions.When another player plays an Attack card, you may first reveal this from a hand of 5 or more cards, to draw 2 cards then discard 3.",+2?,+2,,,,,,,
54,Ironworks,Intrigue,Action,,"Gain a card costing up to . If the gained card is an… Action card, +1 Action Treasure card, + Victory card, +1 Card",+1?,+1?,,+?,,,,1,
55,Mill,"Intrigue, 2E",Action - Victory,,"+1 Card +1 Action You may discard 2 cards, for +1",+1,"+1,-1?,-1?",,+?,,,,,1
56,Mining Village,Intrigue,Action,,+1 Card +2 Actions You may trash this for +.,+2,+1,,+?,Self?,,,,
57,Scout,"Intrigue, 1E",Action,,+1 Action Reveal the top 4 cards of your deck. Put the revealed Victory cards into your hand. Put the other cards on top of your deck in any order.,+1,+0-4,,,,,,,
58,Secret Passage,"Intrigue, 2E",Action,,+2 Cards +1 Action Take a card from your hand and put it anywhere in your deck.,+1,"+2,-1",,,,,,,
59,Courtier,"Intrigue, 2E",Action,,"Reveal a card from your hand. For each type it has (Action, Attack, etc.), choose one: +1 Action; or +1 Buy; or +; or gain a Gold. The choices must be different.",+1?,,+1?,+?,,,,1?,
60,Duke,Intrigue,Victory,,Worth 1 per Duchy you have.,,,,,,,,,X
61,Minion,Intrigue,Action - Attack,,"+1 Action Choose one: +; or discard your hand, +4 Cards, and each other player with at least 5 cards in hand discards their hand and draws 4 cards.",+1,"-X?,+4?",,+?,,,,,
62,Patrol,"Intrigue, 2E",Action,,+3 Cards Reveal the top 4 cards of your deck. Put the Victory cards and Curses into your hand. Put the rest back in any order.,,+3-7,,,,,,,
63,Replace,"Intrigue, 2E",Action - Attack,,"Trash a card from your hand. Gain a card costing up to more than it. If the gained card is an Action or Treasure, put it onto your deck; if it's a Victory card, each other player gains a Curse.",,,,,1,,1?,1,
64,Saboteur,"Intrigue, 1E",Action - Attack,,Each other player reveals cards from the top of their deck until revealing one costing or more. They trash that card and may gain a card costing at most less than it. They discard the other revealed cards.,,,,,,,,,
65,Torturer,Intrigue,Action - Attack,,"+3 Cards Each other player either discards 2 cards or gains a Curse to their hand, their choice. (They may pick an option they can't do.)",,+3,,,,,1?,,
66,Trading Post,Intrigue,Action,,"Trash 2 cards from your hand. If you did, gain a Silver to your hand.",,,,,2,,,1,
67,Tribute,"Intrigue, 1E",Action,,"The player to your left reveals then discards the top 2 cards of his deck. For each differently named card revealed, if it is an… Action Card, +2 Actions Treasure Card, + Victory Card, +2 Cards.",+2Z?,+2Y?,,+?,,,,,
68,Upgrade,Intrigue,Action,,+1 Card +1 Action Trash a card from your hand. Gain a card costing exactly more than it.,+1,+1,,,1,,,1,
69,Harem,Intrigue,Treasure - Victory,,2,,,,+,,,,,2
70,Nobles,Intrigue,Action - Victory,,Choose one: +3 Cards; or +2 Actions.2,+2?,+3?,,,,,,,2
71,Embargo,"Seaside, 1E",Action,,"+ Trash this to add an Embargo token to a Supply pile. (For the rest of the game, when a player buys a card from that pile, they gain a Curse.)",,,,+,Self,,**1?,,
72,Haven,Seaside,Action - Duration,,"+1 Card +1 Action Set aside a card from your hand face down (under this). At the start of your next turn, put it into your hand.",+1,"+1, -1, N+1",,,,,,,
73,Lighthouse,Seaside,Action - Duration,,"+1 Action + At the start of your next turn: +. Until then, when another player plays an Attack card, it doesn't affect you.",+1,,,"+, N +",,,,,
74,Native Village,Seaside,Action,,+2 Actions Choose one: Put the top card of your deck face down on your Native Village mat (you may look at those cards at any time); or put all the cards from your mat into your hand.,+2,+X?,,,,,,,
75,Pearl Diver,"Seaside, 1E",Action,,+1 Card +1 Action Look at the bottom card of your deck. You may put it on top.,+1,+1,,,,,,,
76,Ambassador,"Seaside, 1E",Action - Attack,,Reveal a card from your hand. Return up to 2 copies of it from your hand to the Supply. Then each other player gains a copy of it.,,,,,0-2,,1,,
77,Astrolabe,"Seaside, 2E",Treasure - Duration,,Now and at the start of your next turn: +1 Buy,,,"+1, N+1","+, N +",,,,,
78,Fishing Village,Seaside,Action - Duration,,+2 Actions + At the start of your next turn: +1 Action and +.,"+2, N +1",,,"+, N +",,,,,
79,Lookout,Seaside,Action,,+1 Action Look at the top 3 cards of your deck. Trash one of them. Discard one of them. Put the other one back on top of your deck.,+1,,,,1,,,,
80,Monkey,"Seaside, 2E",Action - Duration,,"Until your next turn, when the player to your right gains a card, +1 Card. At the start of your next turn, +1 Card.",,"**+1, N+1",,,,,,,
81,Sea Chart,"Seaside, 2E",Action,,"+1 Card +1 Action Reveal the top card of your deck. If you have a copy of it in play, put it into your hand.",+1,"+1, +1?",,,,,,,
82,Smugglers,Seaside,Action,,Gain a copy of a card costing up to that the player to your right gained on their last turn.,,,,,,,,1,
83,Warehouse,Seaside,Action,,+3 Cards +1 Action Discard 3 cards.,+1,"+3,-3",,,,,,,
84,Blockade,"Seaside, 2E",Action - Duration - Attack,,"Gain a card costing up to , setting it aside. At the start of your next turn, put it into your hand. While it's set aside, when another player gains a copy of it on their turn, they gain a Curse.",,,,,,,**1?,1,
85,Caravan,Seaside,Action - Duration,,"+1 Card +1 Action At the start of your next turn, +1 Card.",+1,"+1, N+1",,,,,,,
86,Cutpurse,Seaside,Action - Attack,,+ Each other player discards a Copper (or reveals a hand with no Copper).,,,,+,,,,,
87,Island,Seaside,Action - Victory,,Put this and a card from your hand onto your Island mat.2,,,,,"1,Self",,,,2
88,Navigator,"Seaside, 1E",Action,,"+ Look at the top 5 cards of your deck. Either discard them all, or put them back in any order.",,,,+,,,,,
89,Pirate Ship,"Seaside, 1E",Action - Attack,,"Choose one: + per Coin token on your Pirate Ship mat; or each other player reveals the top 2 cards of their deck, trashes one of those Treasures that you choose, and discards the rest, and then if anyone trashed a Treasure you add a Coin token to your Pirate Ship mat.",,,,+?,,,,,
90,Sailor,"Seaside, 2E",Action - Duration,,"+1 Action Once this turn, when you gain a Duration card, you may play it. At the start of your next turn, + and you may trash a card from your hand.","1, **P1?",,,N+,N 1?,,,,
91,Salvager,Seaside,Action,,+1 Buy Trash a card from your hand. + per it costs.,,,+1,+,1,,,,
92,Sea Hag,"Seaside, 1E",Action - Attack,,"Each other player discards the top card of their deck, then gains a Curse onto their deck.",,,,,,,1,,
93,Tide Pools,"Seaside, 2E",Action - Duration,,"+3 Cards +1 Action At the start of your next turn, discard 2 cards.",1,"+3, N-2",,,,,,,
94,Treasure Map,Seaside,Action,,"Trash this and a Treasure Map from your hand. If you trashed two Treasure Maps, gain 4 Golds onto your deck.",,,,,"1?, Self",,,4?,
95,Bazaar,Seaside,Action,,+1 Card +2 Actions +,+2,+1,,+,,,,,
96,Corsair,"Seaside, 2E",Action - Duration - Attack,,"+ At the start of your next turn, +1 Card. Until then, each other player trashes the first Silver or Gold they play each turn.",,N+1,,,,,,,
97,Explorer,"Seaside, 1E",Action,,"You may reveal a Province from your hand. If you do, gain a Gold to your hand. If you don't, gain a Silver to your hand.",,,,,,,,1,
98,Ghost Ship,"Seaside, 1E",Action - Attack,,+2 Cards Each other player with 4 or more cards in hand puts cards from their hand onto their deck until they have 3 cards in hand.,,+2,,,,,,,
99,Merchant Ship,Seaside,Action - Duration,,Now and at the start of your next turn: +.,,,,"+, N +",,,,,
100,Outpost,Seaside,Action - Duration,,"If this is the first time you played an Outpost this turn, and the previous turn wasn't yours, then take an extra turn after this one, and you only draw 3 cards for your next hand.",,,,,,,,,
101,Pirate,"Seaside, 2E",Action - Duration - Reaction,,"At the start of your next turn, gain a Treasure costing up to to your hand.When any player gains a Treasure, you may play this from your hand.",,,,,,,,N 1,
102,Sea Witch,"Seaside, 2E",Action - Duration - Attack,,"+2 Cards Each other player gains a Curse. At the start of your next turn, +2 Cards, then discard 2 cards.",,"+2, N +2, N-2",,,,,1,,
103,Tactician,Seaside,Action - Duration,,"If you have at least one card in hand: Discard your hand, and at the start of your next turn, +5 Cards, +1 Action, and +1 Buy.",N +1?,"-X, N +5?",N +1?,,,,,,
104,Treasury,Seaside,Action,,"+1 Card +1 Action + At the end of your Buy phase this turn, if you didn't gain a Victory card in it, you may put this onto your deck.",+1,+1,,+,,,,,
105,Wharf,Seaside,Action - Duration,,Now and at the start of your next turn: +2 Cards and +1 Buy.,,"+2, N +2","+1, N+1",,,,,,
106,Transmute,Alchemy,Action,,"Trash a card from your hand. If it is an… Action card, gain a Duchy Treasure card, gain a Transmute Victory card, gain a Gold",,,,,1,,,1,
107,Vineyard,Alchemy,Victory,,Worth 1 per 3 Action cards you have (round down).,,,,,,,,,X
108,Herbalist,Alchemy,Action,,"+1 Buy + Once this turn, when you discard a Treasure from play, you may put it onto your deck.",,,+1,+,,,,,
109,Apothecary,Alchemy,Action,,+1 Card +1 Action Reveal the top 4 cards of your deck. Put the Coppers and Potions into your hand. Put the rest back in any order.,+1,+1-5,,,,,,,
110,Scrying Pool,Alchemy,Action - Attack,,"+1 Action Each player (including you) reveals the top card of their deck and either discards it or puts it back, your choice. Then reveal cards from your deck until revealing one that isn’t an Action. Put all of those revealed cards into your hand.",+1,+X,,,,,,,
111,University,Alchemy,Action,,+2 Actions You may gain an Action card costing up to .,+2,,,,,,,1,
112,Alchemist,Alchemy,Action,,"+2 Cards +1 Action At the start of Clean-up this turn, if you have a Potion in play, you may put this onto your deck.",+1,+2,,,,,,,
113,Familiar,Alchemy,Action - Attack,,+1 Card +1 Action Each other player gains a Curse.,+1,+1,,,,,1,,
114,Philosopher's Stone,Alchemy,Treasure,,Count your deck and discard pile. + per 5 cards total between them (round down).,,,,+,,,,,
115,Golem,Alchemy,Action,,"Reveal cards from your deck until you reveal 2 Action cards other than Golems. Discard the other cards, then play the Action cards in either order.","P1, P1",,,,,,,,
116,Apprentice,Alchemy,Action,,+1 Action Trash a card from your hand. +1 Card per it costs. +2 Cards if it has in its cost.,+1,+X,,,1,,,,
117,Possession,Alchemy,Action,,"The player to your left takes an extra turn after this one, in which you can see all cards they can and make all decisions for them. Any cards or they would gain on that turn, you gain instead; any cards of theirs that are trashed are set aside and put in their discard pile at end of turn.",,,,,,,,X,
118,Potion,Alchemy,Treasure,,,,,,+,,,,,
119,Anvil,"Prosperity, 2E",Treasure,,You may discard a Treasure to gain a card costing up to .,,,,+,,,,1,
120,Loan,"Prosperity, 1E",Treasure,,Reveal cards from your deck until you reveal a Treasure. Discard it or trash it. Discard the other cards.,,,,+,1?,,,,
121,Trade Route,"Prosperity, 1E",Action,,+1 Buy Trash a card from your hand. + per Coin token on the Trade Route mat.Setup: Add a Coin token to each Victory Supply pile; move that token to the Trade Route mat when a card is gained from that pile.,,,+1,+,1,,,,
122,Watchtower,Prosperity,Action - Reaction,,"Draw until you have 6 cards in hand.When you gain a card, you may reveal this from your hand, to either trash that card or put it onto your deck.",,+X,,,,,,,
123,Bishop,Prosperity,Action,,+ +1 Trash a card from your hand. +1 per it costs (round down). Each other player may trash a card from their hand.,,,,+,1,,,,+X
124,Clerk,"Prosperity, 2E",Action - Reaction - Attack,,"+ Each other player with 5 or more cards in hand puts one onto their deck.At the start of your turn, you may play this from your hand.",,,,+,,,,,
125,Investment,"Prosperity, 2E",Treasure,,Trash a card from your hand. Choose one: +; or trash this to reveal your hand for +1 per differently named Treasure there.,,,,+?,1,,,,+X ?
126,Monument,Prosperity,Action,,+ +1,,,,+,,,,,+1
127,Quarry,Prosperity,Treasure,,"This turn, Actions cost less.",,,,+,,,,,
128,Talisman,"Prosperity, 1E",Treasure,,"While you have this in play, when you buy a non-Victory card costing or less, gain a copy of it.",,,,+,,,,1?,
129,Tiara,"Prosperity, 2E",Treasure,,"+1 Buy This turn, when you gain a card, you may put it onto your deck.You may play a Treasure from your hand twice.",,,1,,,,,,
130,Worker's Village,Prosperity,Action,,+1 Card +2 Actions +1 Buy,+2,+1,+1,,,,,,
131,Charlatan,"Prosperity, 2E",Action - Attack,,"+ Each other player gains a Curse.In games using this, Curse is also a Treasure worth .",,,,+,,,1,,
132,City,Prosperity,Action,,"+1 Card +2 Actions If there are one or more empty Supply piles, +1 Card. If there are two or more, +1 Buy and +",+2,+1-2,+1?,+?,,,,,
133,Collection,"Prosperity, 2E",Treasure,,"+1 Buy This turn, when you gain an Action card, +1 .",,,1,+,,,,,+X
134,Contraband,"Prosperity, 1E",Treasure,,+1 Buy The player to your left names a card. You can’t buy that card this turn.,,,+1,+,,,,,
135,Counting House,"Prosperity, 1E",Action,,"Look through your discard pile, reveal any number of Coppers from it, and put them into your hand.",,+X,,,,,,,
136,Crystal Ball,"Prosperity, 2E",Treasure,,"Look at the top card of your deck. You may trash it, discard it, or, if it's an Action or Treasure, play it.",,,,+,1?,,,,
137,Magnate,"Prosperity, 2E",Action,,Reveal your hand. +1 Card per Treasure in it.,,+X,,,,,,,
138,Mint,Prosperity,Action,,"You may reveal a Treasure card from your hand. Gain a copy of it.When you gain this, trash all non-Duration Treasures you have in play.",,,,,*X,,,1,
139,Mountebank,"Prosperity, 1E",Action - Attack,,"+ Each other player may discard a Curse. If they don’t, they gain a Curse and a Copper.",,,,+,,,2?,,
140,Rabble,Prosperity,Action - Attack,,"+3 Cards Each other player reveals the top 3 cards of their deck, discards the revealed Actions and Treasures, and puts the rest back in any order they choose.",,+3,,,,,,,
141,Royal Seal,"Prosperity, 1E",Treasure,,"While you have this in play, when you gain a card, you may put that card onto your deck.",,,,+,,,,,
142,Vault,Prosperity,Action,,"+2 Cards Discard any number of cards for + each. Each other player may discard 2 cards, to draw a card.",,"+2,-X",,+,,,,,
143,Venture,"Prosperity, 1E",Treasure,,Reveal cards from your deck until you reveal a Treasure. Discard the other cards. Play that Treasure.,,,,+,,,,,
144,War Chest,"Prosperity, 2E",Treasure,,The player to your left names a card. Gain a card costing up to that hasn't been named for War Chest this turn.,,,,,,,,1,
145,Goons,"Prosperity, 1E",Action - Attack,,"+1 Buy + Each other player discards down to 3 cards in hand.While you have this in play, when you buy a card, +1 .",,,+1,+,,,,,+X
146,Grand Market,Prosperity,Action,,+1 Card +1 Action +1 Buy +.You can’t buy this if you have any Coppers in play.,+1,+1,+1,+,,,,,
147,Hoard,Prosperity,Treasure,,"This turn, when you gain a Victory card, if you bought it, gain a Gold.",,,,+,,,,X?,
148,Bank,Prosperity,Treasure,,+ per Treasure card you have in play (counting this).,,,,+,,,,,
149,Expand,Prosperity,Action,,Trash a card from your hand. Gain a card costing up to more than it.,,,,,1,,,1,
150,Forge,Prosperity,Action,,Trash any number of cards from your hand. Gain a card with cost exactly equal to the total cost in of the trashed cards.,,,,,X,,,1,
151,King's Court,Prosperity,Action,,You may play an Action card from your hand three times.,P3,,,,,,,,
152,Peddler,Prosperity,Action,,"+1 Card +1 Action +During a player's Buy phase, this costs less per Action card they have in play.",+1,+1,,+,,,,,
153,Platinum,Prosperity,Treasure,,,,,,+,,,,,
154,Colony,Prosperity,Victory,,10,,,,,,,,,10
155,Hamlet,Cornucopia,Action,,+1 Card +1 Action You may discard a card for +1 Action. You may discard a card for +1 Buy.,+1-2,"+1, -2?",+1?,,,,,,
156,Fortune Teller,Cornucopia,Action - Attack,,+ Each other player reveals cards from the top of their deck until they reveal a Victory card or a Curse. They put it on top and discard the rest.,,,,+,,,,,
157,Menagerie,Cornucopia,Action,,"+1 Action Reveal your hand. If the revealed cards all have different names, +3 Cards. Otherwise, +1 Card.",+1,"+1, +2?",,,,,,,
158,Farming Village,Cornucopia,Action,,+2 Actions Reveal cards from your deck until you reveal a Treasure or Action card. Put that card into your hand and discard the rest.,+2,+1,,,,,,,
159,Horse Traders,Cornucopia,Action - Reaction,,"+1 Buy + Discard 2 cards.When another player plays an Attack card, you may first set this aside from your hand. If you do, then at the start of your next turn, +1 Card and return this to your hand.",,-2,+1,+,,,,,
160,Remake,Cornucopia,Action,,"Do this twice: Trash a card from your hand, then gain a card costing exactly more than it.",,,,,2,,,2,
161,Tournament,Cornucopia,Action,,"+1 Action Each player may reveal a Province from their hand. If you do, discard it and gain any Prize (from the Prize pile) or a Duchy, onto your deck. If no-one else does, +1 Card and +.",+1,+1?,,+?,,,,1?,(+3 ?)
162,Young Witch,Cornucopia,Action - Attack,,+2 Cards Discard 2 cards. Each other player gains a Curse unless they reveal a Bane from their hand.Setup: Add an extra Kingdom card pile costing or to the Supply. Its cards are Banes.,,"+2, -2",,,,,1?,,
163,Harvest,Cornucopia,Action,,"Reveal the top 4 cards of your deck, then discard them. + per differently named card revealed.",,,,+,,,,,
164,Horn of Plenty,Cornucopia,Treasure,,"Gain a card costing up to per differently named card you have in play (counting this). If it's a Victory card, trash this.",,,,,Self?,,,1,
165,Hunting Party,Cornucopia,Action,,+1 Card +1 Action Reveal your hand. Reveal cards from your deck until you reveal one that isn’t a copy of one in your hand. Put it into your hand and discard the rest.,+1,+2,,,,,,,
166,Jester,Cornucopia,Action - Attack,,"+ Each other player discards the top card of their deck. If it’s a Victory card they gain a Curse; otherwise they gain a copy of the discarded card or you do, your choice.",,,,+,,1?,1?,,
167,Fairgrounds,Cornucopia,Victory,,Worth 2 per 5 differently named cards you have (round down).,,,,,,,,,X
168,Bag of Gold,Cornucopia,Action - Prize,,+1 Action Gain a Gold onto your deck. (This is not in the Supply.),+1,,,,,,,1,
169,Diadem,Cornucopia,Treasure - Prize,,"+ per unused Action you have (Action, not Action card).(This is not in the Supply.)",,,,+ +,,,,,
170,Followers,Cornucopia,Action - Attack - Prize,,+2 Cards Gain an Estate. Each other player gains a Curse and discards down to 3 cards in hand. (This is not in the Supply.),,+2,,,,,1,1,(+1 )
171,Princess,Cornucopia,Action - Prize,,"+1 Buy This turn, cards cost less.(This is not in the Supply.)",,,+1,R2,,,,,
172,Trusty Steed,Cornucopia,Action - Prize,,Choose two: +2 Cards; or +2 Actions; or +; or gain 4 Silvers and put your deck into your discard pile. The choices must be different. (This is not in the Supply.),+2?,+2?,,+?,,,,4?,
173,Crossroads,Hinterlands,Action,,"Reveal your hand. +1 Card per Victory card revealed. If this is the first time you played a Crossroads this turn, +3 Actions.",+3?,+X,,,,,,,
174,Duchess,"Hinterlands, 1E",Action,,"+. Each player (including you) looks at the top card of their deck and may discard it.In games using this, when you gain a Duchy, you may gain a Duchess.",,,,+,,,,,
175,Fool's Gold,Hinterlands,Treasure - Reaction,,"If this is the first time you played a Fool's Gold this turn, +, otherwise +.When another player gains a Province, you may trash this from your hand, to gain a Gold onto your deck.",,,,"+, +?",,,,,
176,Develop,Hinterlands,Action,,"Trash a card from your hand. Gain two cards onto your deck, with one costing exactly more than it, and one costing exactly less than it, in either order.",,,,,1,,,2,
177,Guard Dog,"Hinterlands, 2E",Action - Reaction,,"+2 Cards If you have 5 or fewer cards in hand, +2 Cards.When another player plays an Attack, you may first play this from your hand.",,+2 or +4,,,,,,,
178,Oasis,Hinterlands,Action,,+1 Card +1 Action + Discard a card.,+1,"+1,-1",,+,,,,,
179,Oracle,"Hinterlands, 1E",Action - Attack,,"Each player (including you) reveals the top 2 cards of their deck, and discards them or puts them back, your choice (they choose the order). Then, +2 Cards.",,+2,,,,,,,
180,Scheme,Hinterlands,Action,,"+1 Card +1 Action This turn, you may put one of your Action cards onto your deck when you discard it from play.",+1,+1,,,,,,,
181,Tunnel,Hinterlands,Victory - Reaction,,"2 When you discard this other than during Clean-up, you may reveal it to gain a Gold.",,,,,,,,1?,2
182,Jack of All Trades,Hinterlands,Action,,Gain a Silver. Look at the top card of your deck; you may discard it. Draw until you have 5 cards in hand. You may trash a non-Treasure card from your hand.,,+X,,,1?,,,1,
183,Noble Brigand,"Hinterlands, 1E",Action - Attack,,"+ Each other player reveals the top 2 cards of their deck, trashes a revealed Silver or Gold you choose, discards the rest, and gains a Copper if they didn't reveal a Treasure. You gain the trashed cards.When you buy this, do its attack.",,,,+,,,1? *1?,X *X,
184,Nomad Camp,"Hinterlands, 1E",Action,,+1 Buy +This is gained onto your deck (instead of to your discard pile).,,,+1,+,,,,,
185,Nomads,"Hinterlands, 2E",Action,,"+1 Buy +When you gain or trash this, +.",,,1,+ *+,,,,,
186,Silk Road,"Hinterlands, 1E",Victory,,Worth 1 for every 4 Victory cards you have (round down).,,,,,,,,,X
187,Spice Merchant,Hinterlands,Action,,You may trash a Treasure from your hand to choose one: +2 Cards and +1 Action; or +1 Buy and +.,+1?,+2?,+1?,+?,1?,,,,
188,Trader,Hinterlands,Action - Reaction,,"Trash a card from your hand. Gain a Silver per it costs.When you gain a card, you may reveal this from your hand, to exchange the card for a Silver.",,,,,1,,,X,
189,Trail,"Hinterlands, 2E",Action - Reaction,,"+1 Card +1 ActionWhen you gain, trash, or discard this, other than in Clean-up, you may play it.","+1, +1?","+1, +1?",,,,,,,
190,Weaver,"Hinterlands, 2E",Action - Reaction,,"Gain two Silvers or a card costing up to .When you discard this other than in Clean-up, you may play it.",,,,,,,,"1-2, 1-2?",
191,Berserker,"Hinterlands, 2E",Action - Attack,,"Gain a card costing less than this. Each other player discards down to 3 cards in hand.When you gain this, if you have an Action in play, play this.",,,,,,,,"1, *1?",
192,Cache,"Hinterlands, 1E",Treasure,,"When you gain this, gain 2 Coppers.",,,,+,,,*2 Self?,,
193,Cartographer,Hinterlands,Action,,"+1 Card +1 Action Look at the top 4 cards of your deck. Discard any number of them, then put the rest back in any order.",+1,+1,,,,,,,
194,Cauldron,"Hinterlands, 2E",Treasure - Attack,,"+1 Buy The third time you gain an Action this turn, each other player gains a Curse.",,,1,+,,,1?,,
195,Embassy,"Hinterlands, 1E",Action,,"+5 Cards Discard 3 cards.When you gain this, each other player gains a Silver.",,"+5,-3",,,,,,,
196,Haggler,Hinterlands,Action,,"+ This turn, when you gain a card, if you bought it, gain a cheaper non-Victory card.",,,,+,,,,X,
